Company,Country,Telephony,3Ltr
"AEROSUR, COMPANIA BOLIVIANA DE TRANSPORTE AEREO PRIVADO S.A.",BOLIVIA,AEROSUR,RSU
"AEROTAXI ATLANTICO, S.A. DE C.V.",MEXICO,AERO ATLA,TLN
AEROTAXI CASANARE LTDA.,COLOMBIA,AEROTACA,ATK
"AEROTAXI DEL CABO, S.A. DE C.V.",MEXICO,TAXI CABO,CBO
"AEROTAXI DEL CARIBE, S. DE R.L. DE C.V.",MEXICO,DELCARIBE,DCA
"AEROTAXI DVZ, S.A. DE C.V.",MEXICO,AEROTAXI DVZ,DVZ
"AEROTAXI GRUPO TAMPICO, S. A. DE C.V.",MEXICO,GRUPOTAMPICO,GTP
"AEROTAXI LOS VALLES, S.L.",SPAIN,VALLES,VAD
"AEROTAXI MEXICANO, S.A. DE C.V.",MEXICO,MEXAERO,MXO
AEROTAXI S.R.O.,CZECHIA,AEROTAXI,ITE
"AEROTAXI VILLA RICA, S.A. DE C.V.",MEXICO,VILLARICA,VRI
